name,state,price,currency,text,category,subcategory
Sony WI-C400 Bluetooth Slusalice,Kao novo - nekorišćeno,6500,din,"Prodajem Sony WI-C400 Bluetooth slusalice, potpuno ispravne i funkcionalne, zapakovane u svoju originalnu kutiju.

Uživajte u visokokvalitetnom zvuku sa udobnih bežičnih slušalica u bojama koje se uklapaju u vaš lični stil.
Dizajn nošenja iza vrata oblikovan je za udobno celodnevno slušanje. Obaveštenje vibracijom za dolazni poziv.
Trajanje baterije do 20 sati. Kvalitetan zvuk tokom celog dana.

Glavne karakteristike:
Dizajn nošenja iza vrata oblikovan je za udobno celodnevno slušanje
Udoban stil nošenja sa pametnim sprovođenjem kablova
Sinhronizuju se sa pametnim telefonom, dobijaju upozorenja na poruke i primaju dolazne pozive uz obaveštenje vibracijom
Dugmad za reprodukovanje, zaustavljanje ili prelazak sa numere na numeru i prilagođavanje jačine zvuka
Jednostavno BLUETOOTH® povezivanje uz NFC jednim dodirom",Audio,Slušalice
Apple strujni kabel,Kao novo - nekorišćeno,1000,din,Potpuno nov i nekoriscen Apple strujni kabel.,Kompjuteri | Laptop i tablet,Laptopovi | Apple oprema i delovi
Sigma EF500 DG Super Elektronski flash za Nikon,Korišćeno,5500,din,"Prodajem elektronski blic Sigma model EF500 DG Super potpuno ispravan i odlicno ocuvan.
Sigma EF 500DG Super Na, EF 500 DG Nikon Super - Blic sa automatskom kontrolom ekspozicije TTL (za SLR fotoaparate). Izlaz svetlosti vodećeg broja 50 / m na ISO 100. Podesiva glava blica, do 90 ° prema gore, do 180 stepeni levo i 90 ° desno. Š k V k D = 77Ks139Ks117 MM Težina: 335 g samo za Nikon D konektor. Nikon iTTL F14923",Foto,"Rasveta | Blicevi, blic glave i LED"
Ersa SMD 8000 Lemna stanica,Korišćeno,6500,din,"Prodajem Lemnu stanicu Ersa SMD 8000 Type SNT80 potpuno ispravna i solidno ocuvana sa sitnim tragovima koriscenja. Stanica ima dva ulaza, za lemilicu i za lemnu pincetu pogodnu za smd tehnologiju.",Alati i oruđa,Za elektroniku i elektriku
"Led Lenser H14,2 Lampa za glavu",Korišćeno,9999,din,"Prodajem Led lenser H14,2 lampu za glavu, potpuno ispravnu i funkcionalnu i perfektno ocuvanu.
Radi na 4 AA baterije 1,5 V ili na 4 punjive baterije i puni se preko obicnog micro usb kabla.

Led Lenser H14.2
Led Lenser H14.2 LED lampa za glavu je naslednik H 14 serije sa naprednijim CREe LEd čipom i mnogo većom snagom. Novi model je zahvaljujući revidiranom dizajnu ergonomski oblikovan, trajniji i zgodnije za korišćenje. Novi koncept prekidača čini lampu funkionalnijom i pomaže korisniku da upravlja praktičnim funkcijama osvetljenja. Rotirajući prekidač u odelju za baterije omogućava fleksibilnost u mogućnosti podešavanja osvetljenosti. Sa visoko osetljivim CREE LED čipom daje svetlost oko 350 lumena i do 3 puta jaču u odnosu na klasične lampe, nudi nekoliko programa osvetljenja sa različitim funkcijama. Lampa sa mekanom i udobnom trakom oko glave može da se okrene za 90 stepeni, izuzetno je lagana i prijatna za nošenje. Lampa je idealna za kampere, planinare, noćne džogere ili rudare. Sadrži indikator kapaciteta baterije. Može da se koristi i kao svetlo za bicikl, za nošenje oko glave ili nošenjem u ruci.
Karakteristike:
Podesiva dužina trake
Zadnja crvena LED baterija
Težina: 340g
Lumena: 350
Visoko osetljiv CREE LED čip
Indikator kapaciteta baterije: zeleno svetlo: kapacitet od 70-100%, žuto svetlo: manje od 70%, crveno svetlo:10-40%
Napajanje: 4 AA alkalne baterije 1.5v
Energetski rezervoar: 16.8Wh
Trajanje baterija: 8h (350 lumena), 60h (60 lumena)
Domet osvetljenja: 260m (350 lumena), 100m (60 lumena)",Lov i ribolov,Lov | Lampe
SR Suntour NCX Sticna Amortizer Sedista,Korišćeno,6500,din,"Prodajem Suntour NCX sticna amortizer perfektno ocuvana hromirana, naravno ispravna.

NCX sedište je konstruisano i napravljeno za godine udobnosti i performansi. Jedinstveni i patentirani dizajn paralelograma omogućava glatku usklađenost malih izbočina sa ukupno 50 mm hoda kako bi se postigla lagana vožnja. Udobnost, malo održavanja i dugotrajna izdržljivost je ono o čemu se radi u ovom postu. Stub sedišta SR SUNTOUR NCX je najbolji u klasi po performansama i vrednosti. Ovo je obavezna oprema za bilo kog biciklistu koji traži vrhunsku udobnost.

Putovanje od 50 mm
Čaure od nerđajućeg čelika
Patentirani dizajn paralelograma
Prednaprezanje podesivo
Dizajn unutrašnje spiralne opruge
Bočna stezaljka ima radijalni držač sa širokim opsegom podešavanja
Standardna opruga je predviđena za vozače od 65-85 kg
Težina 765g
Maksimalna visina umetanja 110 mm
Maksimalno produženje visine od 300 mm za dužinu od 350 mm
Maksimalno produženje visine od 350 mm za dužinu od 400 mm",Bicikli | Delovi i oprema,Sedišta
Viking TE 600 Elektricni trimer,Korišćeno,6000,din,"Prodajem Viking TE 600 elektricni trimer, potpuno ispravan i odlicno ocuvan.",Dvorište i bašta,Kosilice i trimeri
Siemens Gigaset SL400 Bezicni Telefon,Korišćeno,4500,din,"Prodajem Bezicni telefon Siemens Gigaset Sl400 potpuno ispravan i savrseno ocuvan.

Opis proizvoda:
Izradjen od luksuznih materijala – metalni okvir i osvetljeni metalni tasteri
Kolor displej, Bletooth konekcija, ECO DECT tehnologija bez zracenja
Adresar sa 500 unosa, sinhronizacija preko Bluetooth-a ili mini USB prikljucka
Talk-/Standby vreme 14h/200h
Izuzetan kvalitet zvuka, prikaz slike pozivaoca, screen saver, Vibracija",Bela tehnika i kućni aparati,Telefoni i telefaks aparati
Celicna sajla 5 metara sa Katancem,Kao novo - nekorišćeno,2500,din,Prodajem plastificiranu celicnu sajlu duzine 5 metara sa katancem u plasticnom kucistu i dva kljuca.,Bicikli | Delovi i oprema,Pumpe i brave za zaključavanje
Samsung ASC MIC SM-100 Mikrofon za kalibraciju zvuka,Korišćeno,2500,din,"Samsung mikrofon za kalibraciju zvuka u sobi, ispravan i i cuvan, ovo bi svaka kuca trebala da ima.",Audio,Risiveri | Surround
Omron Walking Style One HJ-152K-E Pedometar,Korišćeno,1800,din,Potpuno ispravan i odlicno ocuvan pedometar Omron.,Sport i razonoda,Oprema za fitnes i aerobik
iSi Dessert Whip Mini boca za Slag,Kao novo - nekorišćeno,6000,din,"iSi Dessert Whip Mini, potpuno nova i nekoriscena profesionalna boca za slag, sa svim svojim dodacima, koje mozete videti na slikama na kutiji. Gratis se dobija 10 patrona za bocu.",Ugostiteljstvo | Oprema,Barska oprema
"Laptop desk, Breakfast tray, Small wood desk, Lap tray, Bed",Korišćeno,2400,din,Odlican Lap Top stand ili za dorucak u krevetu posluzavnik.,Kompjuteri | Laptop i tablet,Laptopovi
Resmed S9 Aparat za Sleep Apneu,nepoznato,270,€,"Prodajem CPAP Aparat za Sleep Apneu Resmed S9 potpuno ispravan i odlicno ocuvan.
Aparat je radio 10325 sati i prodaje se bez maske i ovlazivaca vazduha, uz uredjaj ide strujni adapter
i originalna torba za nosenje i drzanjer aparata",Usluge | Zdravstvo,Nega starih i bolesnih
Sennheiser Torbica,Korišćeno,1200,din,Sennheiser torbica ocuvana.,Audio,Slušalice
Olympus Mju Tough 6010 digitalni fotoaparat,Korišćeno,4500,din,"Predmet prodaje je ispravan i testiran digitalni fotoaparat Olympus Mju Tough 6010.
Fotoaparat se isporucuje punjacem za bateriju i memorijskom karticom.


Otporan je na udarce, vodu i smrzavanje, ovaj moćni uređaj sa rezolucijom od 12 megapiksela je Vaš savršeni saputnik. Olympus µ TOUGH-6010: Za svakodnevni život pun izazova.
Olympus µ TOUGH-6010 digitalni fotoaparat, ključne karakteristike:
Slikajte u vlažnim, hladnim uslovima ili nezgodnim situacijama - otporan na padove sa visine do 1.5m, vodootporan do 3m i otporan na smrzavanje do -10° C
Izuzetno precizan 3.6x širokougaoni optički zum (28-102 mm*) za snimanje sjajnih prizora i odličnih slika iz blizine čak i u ekstremnim uslovima
Dvostruka stabilizacija slike za smanjenje zamućenosti
Izuzetno praktična upotreba kroz meni za kontrolu tapkanjem
12 Megapiksela za štampanje slika veličine postera
HyperCrystal LCD, dijagonale 6.9cm/2.7"" za do sada najbolji pregled čak i po veoma jakom suncu i pod ekstremnim uglovima (230,000 tačaka)
Napredni sistem za otkrivanje do 16 osoba za savršeno izoštrena i eksponirana lica i ispravna ekspozicija ostalih delova slike
Jednostavan put do savršenih slika - Inteligentni automatski režim otkriva pet najčešće korišćenih programa za snimanje i automatski prilagođava postavke fokusa i ekspozicije
Dajte svojim slikama umetnički dodir uz pomoć Magičnih filtera
Osvežite svoja sećanja uz snimanje video zapisa sa zvukom
Kompatibilan sa xD-Picture karticama i microSD karticama
Senzor za sliku
Stvarni broj piksela: 12 Megapiksela
Vrsta filtera: Filter za osnovne boje (RGB)
Puna rezolucija: 12,7 Megapiksela
Tip: 1/2,33 '' CCD senzor
Objektiv
Optički zum: 3,6 x (Širokougaono)
Žižna daljina: 5,0 - 18,2 mm
Žižna daljina ekvivalentna 35mm formatu: 28 - 102 mm
Struktura: 10 sočiva/ 8 grupa
Asferični elementi sočiva: 2
Maksimalni otvor blende: 3,5 - 5,1
Digitalni zum
Faktor uvećanja: 5 x / 18 x u kombinaciji sa optičkim zumom
LCD
Rezolucija: 230000 tačaka
Veličina ekrana: 6,9 cm / 2,7 ''
Vrsta LCD ekrana: HyperCrystal III LCD
Pomoć u kadriranju: Ima
Podešavanje osvetljenosti: +/- 2 nivoa
Pojačanje osvetljenja LCD: Ima
Sistem fokusiranja
Metod: TTL iESP autofokus sa detekcijom kontrasta
Fokusiranje u tački: Ima
Face Detection AF: Ima
Standardni režim: 0,5m - ∞ (širokougaoni) / 0,5m - ∞ (tele)
Makro: 0,1m - ∞ (širokougaoni) / 0,3m - ∞ (tele)
Super Makro: Najmanja žižna daljina 2 cm
Merenje svetlosti
Prikaz histograma tokom snimanja: Ima
Načini rada: ESP merenje svetlosti, Merenje u tački",Foto,Digitalni fotoaparati | Kompakt
Lens Rubber Hood,Korišćeno,1200,din,"Lens rubber hood, solidno ocuvan made in Germany.",Foto,Zonerice
Sigma NC-2 Torbica za objektiv Made in Japan,Korišćeno,1800,din,"Torbica za objektive sigma NC-2 made in Japan, perfektno ocuvana, kao nova, ako i nije.",Foto,"Futrole, torbe i kaiševi"
Olympia SM8 DeLyxe 1969 Pisaca Masina,Korišćeno,6500,din,"Prodajem Olympia SM8 Deluxe pisacu masinu iz 1969 godine, perfektno ocuvana i dalje radi kao nova. Masina je u svojoj originalnoj koznoj torbi za nosenje.",Oprema za poslovanje,Kancelarija | Pribor i materijali
Gritzner typewriter lettering machine 4-1001-018,Korišćeno,6000,din,"Prodaje se Vintage masina za kucanje etiketa iz 1960 godine u odlicnom stanju, sve tipke rade, jedino su jastucici po kome se kuca suvi i treba ih natopiti sa bojom.",Oprema za poslovanje,Kancelarija | Pribor i materijali
ABUS Brake disc lock GRANIT™ Quick 37/60,Korišćeno,4500,din,Abus quick Lock Granit za zakljucavanje motora ispravan sa svojom torbicom i jednim kljucem.,Motocikli | Oprema i delovi,Obezbeđenje motocikala
Apple Mini Display Port to DVI,Korišćeno,1200,din,"Prodajem Apple Mini display Port to DVI, ispravan u svojoj originalnoj kutiji, nekoriscen.",Kompjuteri | Desktop,Apple desktop | Oprema i delovi
Deuter Torba za Lap Top,Korišćeno,1800,din,Prodajem Deuter Lap Top Case nov i nekoriscen. Za lap top do 15 inca.,Kompjuteri | Laptop i tablet,Torbe i rančevi
Sigurnosni Prsluk MarinePool Ocean Pro EN395-100N,Korišćeno,3600,din,MarinePool  Ocean Pro EN395-100N Sigurnosni Prsluk sa pistaljkom ocuvan i ispravan do 90kg tezine.,Plovni objekti,Delovi i oprema
Huawei R207 Mobile Wi-Fi,Korišćeno,1800,din,"Prodajem Huawei R207 Mobile Wi-Fi potpuno ispravan, radi na Vip mrezi.",Kompjuteri | Desktop,Modemi i ruteri
TROTEC T250 infracrveni termo-higrometar,Korišćeno,8500,din,"Trotec T250 infracrveni termo higrometar Kao profesionalni ručni instrument u seriji MultiMeasure, T250 vam nudi istu preciznost, visok kvalitet i jednostavnost
rada kao i T200. Osnovna razlika je posebno širok raspon funkcija koje pruža, jer T250 kombinuje termohigrometar, laserski pirometar i alarm o tački rose u samo jednoj jedinici. Tri načina rada i mnoge merne funkcije mogu se izabrati samo jednom rukom pomoću točkića - pretvorite T250 u mobilnu mernu stanicu u formatu gornjeg džepa: U režimu TH merni instrument odgovara T200 i nudi vam sve funkcije ovog termohigrometra. U IR režimu možete koristiti T250 kao laserski pirometar za merenje površinske temperature sa oznakom mesta merenja. Na gornjem ekranu izmerene vrednosti
vrednost realnog vremena se prikazuje kontinuirano, a na donjem izmerenoj vrednosti ili odgovarajući minimum, maksimum, prosek ili vrednost. Posebna praktična prednost je funkcija alarma za tačku rose: U režimu DP temperatura rosišta i temperatura površine prikazuju se istovremeno na dobro vidljivom displeju. Čim je temperatura zida ispod temperature rosišta, T250 upozorava korisnika
optičkim laserskim signalom i tonom alarma. Zidne površine mogu se u kratkom roku pregledati i brzo se otkriju slabosti pomoću funkcije alarma. Pragovi alarma se mogu pojedinačno podesiti. Na susednoj slici su prikazani granični opsezi stvaranja kondenzacije ili plesni u zgradama u zavisnosti od minimalne temperature na površini u području toplotnih mostova. Sa T250 sve potrebne
merne promenljive sobna temperatura, vlažnost, temperatura površine, tačka rose mogu se odrediti samo jednim mernim instrumentom! Svakodnevni radni uslovi često uključuju prašinu i prljavštinu što može falsifikovati rezultate merenja i skratiti životni vek senzora. Merni uređaj T250 standardno je opremljen metalnim mrežnim
filterom!",Elektronika i komponente,Merni uređaji
Texas Instruments TI-nspire CAS Graficki Kalkulator,Korišćeno,10000,din,"Prodajem Graficki Kalkulator Texas Instruments TI-nspire CAS, potpuno ispravan i odlicno ocuvan.",Oprema za poslovanje,Kancelarija | Pribor i materijali
Ceecoach Bluetooth Komunikator,Korišćeno,300,€,"Ceecoach Bluetooth Comunicator potpuno ispravan i odlicno ocuvan uz uredjaj se isporucuju i Jbl Bluetooth slusalice.
Ceecoach je handsfree interni komunikator kratkoga dometa koji koristi Bluetooth tehnologiju za zatvorenu komunikaciju među grupom ljudi Ovaj komunikator se pokazao nezamjenjivim u komunikaciji trenera i sportaša, ali i u komunikaciji takmicara na raznim trkama, takmicenjima, regatama i slično. Jedrenje i nautika su sigurno neki od sportova u kojima će Ceecoach naći svoje mesto, posebno velike jedriličarske regate krstaša u kojima je dobra komunikacija veoma važna. Jedan set Ceecoach komunikatora sastoji se od jedne glavne komunikacijske jedinice i do pet priključnih. Protokol komunikacije je svestran, što osigurava svima da komuniciraju. Slušalica s mikrofonom spaja se na sam uređaj, koji zahvaljujući kompaktnim dimenzijama stane u džep, na remen ili se posebnim držačem pričvrsti na podlakticu, što osigurava slobodan rad ruku.",Sport i razonoda,Oprema za fitnes i aerobik
Logitech Z506 Tri satelita,Korišćeno,2400,din,"Prodajem Logitech Z506 dva satelita, levi i desni. Zvucnici su ispraavni i ocuvani.
Srednji je prodat.",Audio,Zvučnici
Siemens Gigaset SL450H Voip Telefon,Korišćeno,9000,din,"Prodajem Bezicni VOIP telefon Siemens Gigaset SL450H potpuno ispravan i odlicno ocuvan.

Karakteristike

• DECT/GAP bežični telefon
• TFT displej, dijagonale 2.4 inča, 65k boja
• Micro-USB priključak
• Bluetooth® 2.0
• Povezivanje sa računarom preko Micro-USB ili Bluetooth beze (uređivanje imenika, prenos melodija, prenos slika)
• ECO Plus DECT - Tehnologija smanjenog zračenja
• HSP™ - Brilijantan kvalitet zvuka, precizan i čist glas sa svakim pozivom
• HDSP™ telefoni – izuzetan zvuk za internet telefoniju
• 2.5mm priključak za slušalice
• Handsfree funkcija - full duplex spikerfon
• Belo osvetljeni tasteri
• 2 podesiva tastera ispod displeja
• Navigacioni taster
• LED signalizacija za nove pozive i poruke
• Jednostavno podešavanje čujnosti
• Višejezični meniji
• Podešavanje kolor šeme
• Screensaver: digitalni/analogni sat, fotografija. ..
• Polifone melodije zvonjenja (21+5)
• Vibracija prilikom zvonjenja
• Redial (20 poslednjih brojeva)
• Telefonski imenik, adresar (500 memorija )
• Kalendar, datum, vreme, alarm. ..
• SMS funkcija
• CLIP (20 memorija)
• Prikazivanje slike pozivatelja
• Zaključavanje tastature
• Trajanje baterije: stdby: do 200 sati
• Trajanje baterije: razgovor do 12 sati
• Baterija: Li-ion (750mAh)
• Dimenzije ručnog dela: 130x51x19mm
• Mogućnost prijavljivanje do 6 slušalica",Bela tehnika i kućni aparati,Telefoni i telefaks aparati
Bose PS 72 Strujni Adapter za Lifestyle sisteme,Korišćeno,1200,din,Prodajem Strujni adapter 12 volti Model PS72 pogodan za modele Lifestyle 3 8 12 20 25 30 40 50,Audio,Delovi i oprema
Polar Balance Scale Model 1G Bluetooth,Korišćeno,3600,din,"Prodajem Polar balance smart vagu, potpunoispravnu i odlicno ocuvanu, nedostaje poklopac od baterija ali one stoje cvrsto i ne ispadaju.",Sport i razonoda,Oprema za fitnes i aerobik
Celofan Za pakovanje 4 Tube,Kao novo - nekorišćeno,3600,din,"Celovan u tubi 4 komada nov i nekoriscen, cena je za sve cetiri tube.",Oprema za poslovanje,Potrošna roba i materijali
